id,imdb_id,original_title,release_date,runtime,revenue,action,adventure,animation,comedy,crime,documentary,drama,family,fantasy,history,horror,music,mystery,romance,science fiction,tv movie,thriller,war,western,qtd_genres,day,month,year,day_of_week
480.0,tt0265343,Monsoon Wedding,2001-08-30,114.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,30,8,2001,Thursday
481.0,tt0461894,7 vírgenes,2005-10-14,86.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,14,10,2005,Friday
482.0,tt0067741,Shaft,1971-06-25,100.0,12121618.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,25,6,1971,Friday
483.0,tt0100935,Wild at Heart,1990-08-17,124.0,14560247.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,17,8,1990,Friday
488.0,tt0043265,The African Queen,1952-01-07,105.0,10750000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,7,1,1952,Monday
489.0,tt0119217,Good Will Hunting,1997-12-05,127.0,225933435.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,12,1997,Friday
490.0,tt0050976,Det sjunde inseglet,1957-02-16,96.0,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,16,2,1957,Saturday
491.0,tt0301343,Ghettokids - Brüder ohne Heimat,2002-07-04,90.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,2002,Thursday
492.0,tt0120601,Being John Malkovich,1999-10-29,113.0,22863596.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,29,10,1999,Friday
493.0,tt0069257,Shaft's Big Score!,1972-06-08,104.0,10000000.0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,8,6,1972,Thursday
494.0,tt0070679,Shaft in Africa,1973-06-14,112.0,1458000.0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,14,6,1973,Thursday
496.0,tt0443453,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006-11-01,84.0,262552893.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,2006,Wednesday
497.0,tt0120689,The Green Mile,1999-12-10,189.0,286801374.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,10,12,1999,Friday
499.0,tt0055852,Cléo de 5 à 7,1962-04-11,90.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,11,4,1962,Wednesday
500.0,tt0105236,Reservoir Dogs,1992-09-02,99.0,2859750.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,9,1992,Wednesday
501.0,tt0427312,Grizzly Man,2005-08-12,103.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,8,2005,Friday
502.0,tt0058083,Fail Safe,1964-10-07,112.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,7,10,1964,Wednesday
503.0,tt0409182,Poseidon,2006-05-10,98.0,181674817.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,10,5,2006,Wednesday
